onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
210.218	n/a	105109	contrastChangeB2_start	95	n/a
215.946	n/a	107973	contrastTrial_start	5	n/a
218.752	n/a	109376	left_target	8	n/a
221.12	n/a	110560	left_buttonPress	12	smiley_face
221.152	n/a	110576	contrastTrial_start	5	n/a
225.55	n/a	112775	left_target	8	n/a
227.402	n/a	113701	right_buttonPress	13	sad_face
227.952	n/a	113976	contrastTrial_start	5	n/a
227.962	n/a	113981	left_buttonPress	12	non_target
233.95	n/a	116975	left_target	8	n/a
236.132	n/a	118066	left_buttonPress	12	smiley_face
236.352	n/a	118176	contrastTrial_start	5	n/a
242.352	n/a	121176	right_target	9	n/a
244.232	n/a	122116	right_buttonPress	13	smiley_face
244.752	n/a	122376	contrastTrial_start	5	n/a
244.892	n/a	122446	left_buttonPress	12	non_target
245.842	n/a	122921	right_buttonPress	13	non_target
246.332	n/a	123166	right_buttonPress	13	non_target
246.622	n/a	123311	right_buttonPress	13	non_target
247.482	n/a	123741	left_buttonPress	12	non_target
248.202	n/a	124101	left_buttonPress	12	non_target
250.752	n/a	125376	right_target	9	n/a
253.042	n/a	126521	right_buttonPress	13	smiley_face
253.152	n/a	126576	contrastTrial_start	5	n/a
259.152	n/a	129576	right_target	9	n/a
260.992	n/a	130496	right_buttonPress	13	smiley_face
261.552	n/a	130776	contrastTrial_start	5	n/a
261.772	n/a	130886	right_buttonPress	13	non_target
265.952	n/a	132976	left_target	8	n/a
268.042	n/a	134021	left_buttonPress	12	smiley_face
268.352	n/a	134176	contrastTrial_start	5	n/a
271.152	n/a	135576	right_target	9	n/a
272.962	n/a	136481	right_buttonPress	13	smiley_face
273.552	n/a	136776	contrastTrial_start	5	n/a
279.552	n/a	139776	left_target	8	n/a
281.472	n/a	140736	left_buttonPress	12	smiley_face
281.952	n/a	140976	contrastTrial_start	5	n/a
284.752	n/a	142376	right_target	9	n/a
286.972	n/a	143486	right_buttonPress	13	smiley_face
287.152	n/a	143576	contrastTrial_start	5	n/a
291.554	n/a	145777	left_target	8	n/a
293.954	n/a	146977	contrastTrial_start	5	n/a
299.954	n/a	149977	left_target	8	n/a
301.664	n/a	150832	left_buttonPress	12	smiley_face
302.354	n/a	151177	contrastTrial_start	5	n/a
305.154	n/a	152577	left_target	8	n/a
307.434	n/a	153717	left_buttonPress	12	smiley_face
307.554	n/a	153777	contrastTrial_start	5	n/a
311.954	n/a	155977	right_target	9	n/a
313.954	n/a	156977	right_buttonPress	13	smiley_face
314.354	n/a	157177	contrastTrial_start	5	n/a
318.754	n/a	159377	right_target	9	n/a
320.954	n/a	160477	right_buttonPress	13	smiley_face
321.154	n/a	160577	contrastTrial_start	5	n/a
323.954	n/a	161977	right_target	9	n/a
325.974	n/a	162987	right_buttonPress	13	smiley_face
326.354	n/a	163177	contrastTrial_start	5	n/a
329.154	n/a	164577	right_target	9	n/a
331.554	n/a	165777	contrastTrial_start	5	n/a
334.354	n/a	167177	left_target	8	n/a
336.754	n/a	168377	contrastTrial_start	5	n/a
337.894	n/a	168947	right_buttonPress	13	non_target
338.364	n/a	169182	left_buttonPress	12	non_target
338.824	n/a	169412	right_buttonPress	13	non_target
339.094	n/a	169547	left_buttonPress	12	non_target
339.564	n/a	169782	left_target	8	n/a
341.964	n/a	170982	contrastTrial_start	5	n/a
346.364	n/a	173182	left_target	8	n/a
348.764	n/a	174382	contrastTrial_start	5	n/a
353.166	n/a	176583	right_target	9	n/a
355.566	n/a	177783	contrastTrial_start	5	n/a
359.966	n/a	179983	right_target	9	n/a
361.546	n/a	180773	right_buttonPress	13	smiley_face
362.366	n/a	181183	contrastTrial_start	5	n/a
362.626	n/a	181313	right_buttonPress	13	non_target
368.366	n/a	184183	right_target	9	n/a
370.416	n/a	185208	right_buttonPress	13	smiley_face
370.766	n/a	185383	contrastTrial_start	5	n/a
376.766	n/a	188383	left_target	8	n/a
378.746	n/a	189373	left_buttonPress	12	smiley_face
379.166	n/a	189583	contrastTrial_start	5	n/a
381.256	n/a	190628	right_buttonPress	13	non_target
381.706	n/a	190853	left_buttonPress	12	non_target
385.536	n/a	192768	break cnt	break cnt	n/a
503.986	n/a	251993	9999	9999	n/a
