onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
45.194	n/a	22597	surroundSuppB2_start	97	n/a	n/a	n/a
46.734	n/a	23367	fixpoint_ON	4	n/a	n/a	n/a
47.25	2.4	23625	stim_ON	8	1	1	3
50.168	n/a	25084	fixpoint_ON	4	n/a	n/a	n/a
50.678	2.4	25339	stim_ON	8	1	0.6	1
53.588	n/a	26794	fixpoint_ON	4	n/a	n/a	n/a
54.098	2.4	27049	stim_ON	8	1	0.3	2
57.008	n/a	28504	fixpoint_ON	4	n/a	n/a	n/a
57.518	2.4	28759	stim_ON	8	1	0	3
60.428	n/a	30214	fixpoint_ON	4	n/a	n/a	n/a
60.938	2.4	30469	stim_ON	8	1	0	2
63.848	n/a	31924	fixpoint_ON	4	n/a	n/a	n/a
64.358	2.4	32179	stim_ON	8	1	0.3	1
67.268	n/a	33634	fixpoint_ON	4	n/a	n/a	n/a
67.778	2.4	33889	stim_ON	8	1	0.6	3
70.688	n/a	35344	fixpoint_ON	4	n/a	n/a	n/a
71.198	2.4	35599	stim_ON	8	1	1	2
74.108	n/a	37054	fixpoint_ON	4	n/a	n/a	n/a
74.618	2.4	37309	stim_ON	8	1	1	3
77.528	n/a	38764	fixpoint_ON	4	n/a	n/a	n/a
78.04	2.4	39020	stim_ON	8	1	0.6	1
80.95	n/a	40475	fixpoint_ON	4	n/a	n/a	n/a
81.46	2.4	40730	stim_ON	8	1	0.3	2
84.37	n/a	42185	fixpoint_ON	4	n/a	n/a	n/a
84.88	2.4	42440	stim_ON	8	1	0	3
87.79	n/a	43895	fixpoint_ON	4	n/a	n/a	n/a
88.3	2.4	44150	stim_ON	8	0	1	1
91.21	n/a	45605	fixpoint_ON	4	n/a	n/a	n/a
91.72	2.4	45860	stim_ON	8	0	0.6	2
94.63	n/a	47315	fixpoint_ON	4	n/a	n/a	n/a
95.14	2.4	47570	stim_ON	8	0	0.3	3
98.05	n/a	49025	fixpoint_ON	4	n/a	n/a	n/a
98.56	2.4	49280	stim_ON	8	0	0	1
