onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
35.194	n/a	17597	surroundSuppB2_start	97	n/a	n/a	n/a
36.722	n/a	18361	fixpoint_ON	4	n/a	n/a	n/a
37.238	2.4	18619	stim_ON	8	1	1	3
40.146	n/a	20073	fixpoint_ON	4	n/a	n/a	n/a
40.656	2.4	20328	stim_ON	8	1	0.6	1
43.566	n/a	21783	fixpoint_ON	4	n/a	n/a	n/a
44.076	2.4	22038	stim_ON	8	1	0.3	2
46.986	n/a	23493	fixpoint_ON	4	n/a	n/a	n/a
47.496	2.4	23748	stim_ON	8	1	0	3
50.406	n/a	25203	fixpoint_ON	4	n/a	n/a	n/a
50.916	2.4	25458	stim_ON	8	1	0	2
53.826	n/a	26913	fixpoint_ON	4	n/a	n/a	n/a
54.336	2.4	27168	stim_ON	8	1	0.3	1
57.246	n/a	28623	fixpoint_ON	4	n/a	n/a	n/a
57.756	2.4	28878	stim_ON	8	1	0.6	3
60.666	n/a	30333	fixpoint_ON	4	n/a	n/a	n/a
61.176	2.4	30588	stim_ON	8	1	1	2
64.086	n/a	32043	fixpoint_ON	4	n/a	n/a	n/a
64.596	2.4	32298	stim_ON	8	1	1	3
67.506	n/a	33753	fixpoint_ON	4	n/a	n/a	n/a
68.016	2.4	34008	stim_ON	8	1	0.6	1
70.926	n/a	35463	fixpoint_ON	4	n/a	n/a	n/a
71.436	2.4	35718	stim_ON	8	1	0.3	2
74.346	n/a	37173	fixpoint_ON	4	n/a	n/a	n/a
74.856	2.4	37428	stim_ON	8	1	0	3
77.766	n/a	38883	fixpoint_ON	4	n/a	n/a	n/a
78.276	2.4	39138	stim_ON	8	0	1	1
81.186	n/a	40593	fixpoint_ON	4	n/a	n/a	n/a
81.696	2.4	40848	stim_ON	8	0	0.6	2
84.608	n/a	42304	fixpoint_ON	4	n/a	n/a	n/a
85.116	2.4	42558	stim_ON	8	0	0.3	3
88.028	n/a	44014	fixpoint_ON	4	n/a	n/a	n/a
88.538	2.4	44269	stim_ON	8	0	0	1
91.448	n/a	45724	fixpoint_ON	4	n/a	n/a	n/a
91.958	2.4	45979	stim_ON	8	1	1	3
94.868	n/a	47434	fixpoint_ON	4	n/a	n/a	n/a
95.378	2.4	47689	stim_ON	8	1	0.6	2
98.288	n/a	49144	fixpoint_ON	4	n/a	n/a	n/a
98.798	2.4	49399	stim_ON	8	1	0.3	1
101.708	n/a	50854	fixpoint_ON	4	n/a	n/a	n/a
102.218	2.4	51109	stim_ON	8	1	0	3
105.128	n/a	52564	fixpoint_ON	4	n/a	n/a	n/a
105.638	2.4	52819	stim_ON	8	1	0	3
108.548	n/a	54274	fixpoint_ON	4	n/a	n/a	n/a
109.058	2.4	54529	stim_ON	8	1	0.3	1
111.968	n/a	55984	fixpoint_ON	4	n/a	n/a	n/a
112.478	2.4	56239	stim_ON	8	1	0.6	2
115.388	n/a	57694	fixpoint_ON	4	n/a	n/a	n/a
115.898	2.4	57949	stim_ON	8	1	1	3
118.808	n/a	59404	fixpoint_ON	4	n/a	n/a	n/a
119.318	2.4	59659	stim_ON	8	1	0	1
122.228	n/a	61114	fixpoint_ON	4	n/a	n/a	n/a
122.738	2.4	61369	stim_ON	8	0	0	2
125.648	n/a	62824	fixpoint_ON	4	n/a	n/a	n/a
126.158	2.4	63079	stim_ON	8	1	0.3	3
129.068	n/a	64534	fixpoint_ON	4	n/a	n/a	n/a
129.578	2.4	64789	stim_ON	8	0	0.3	1
132.488	n/a	66244	fixpoint_ON	4	n/a	n/a	n/a
132.998	2.4	66499	stim_ON	8	1	0.6	2
135.908	n/a	67954	fixpoint_ON	4	n/a	n/a	n/a
136.418	2.4	68209	stim_ON	8	0	0.6	3
139.328	n/a	69664	fixpoint_ON	4	n/a	n/a	n/a
139.838	2.4	69919	stim_ON	8	1	1	1
142.748	n/a	71374	fixpoint_ON	4	n/a	n/a	n/a
143.258	2.4	71629	stim_ON	8	0	1	2
146.168	n/a	73084	fixpoint_ON	4	n/a	n/a	n/a
146.678	2.4	73339	stim_ON	8	1	0	3
149.59	n/a	74795	fixpoint_ON	4	n/a	n/a	n/a
150.1	2.4	75050	stim_ON	8	1	0.3	1
153.01	n/a	76505	fixpoint_ON	4	n/a	n/a	n/a
153.52	2.4	76760	stim_ON	8	1	0.6	2
156.43	n/a	78215	fixpoint_ON	4	n/a	n/a	n/a
156.94	2.4	78470	stim_ON	8	1	1	3
159.85	n/a	79925	fixpoint_ON	4	n/a	n/a	n/a
160.36	2.4	80180	stim_ON	8	1	1	2
163.27	n/a	81635	fixpoint_ON	4	n/a	n/a	n/a
163.78	2.4	81890	stim_ON	8	1	0.6	1
166.69	n/a	83345	fixpoint_ON	4	n/a	n/a	n/a
167.2	2.4	83600	stim_ON	8	1	0.3	3
170.11	n/a	85055	fixpoint_ON	4	n/a	n/a	n/a
170.62	2.4	85310	stim_ON	8	1	0	2
173.53	n/a	86765	fixpoint_ON	4	n/a	n/a	n/a
174.04	2.4	87020	stim_ON	8	0	1	1
176.95	n/a	88475	fixpoint_ON	4	n/a	n/a	n/a
177.46	2.4	88730	stim_ON	8	0	0.6	2
180.37	n/a	90185	fixpoint_ON	4	n/a	n/a	n/a
180.88	2.4	90440	stim_ON	8	0	0.3	3
183.79	n/a	91895	fixpoint_ON	4	n/a	n/a	n/a
184.3	2.4	92150	stim_ON	8	0	0	1
187.21	n/a	93605	fixpoint_ON	4	n/a	n/a	n/a
187.72	2.4	93860	stim_ON	8	1	1	2
190.63	n/a	95315	fixpoint_ON	4	n/a	n/a	n/a
191.14	2.4	95570	stim_ON	8	1	0.6	3
194.05	n/a	97025	fixpoint_ON	4	n/a	n/a	n/a
194.56	2.4	97280	stim_ON	8	1	0.3	1
197.47	n/a	98735	fixpoint_ON	4	n/a	n/a	n/a
197.98	2.4	98990	stim_ON	8	1	0	2
200.89	n/a	100445	fixpoint_ON	4	n/a	n/a	n/a
201.4	2.4	100700	stim_ON	8	1	0	1
204.31	n/a	102155	fixpoint_ON	4	n/a	n/a	n/a
204.82	2.4	102410	stim_ON	8	1	0.3	3
207.73	n/a	103865	fixpoint_ON	4	n/a	n/a	n/a
208.242	2.4	104121	stim_ON	8	1	0.6	2
211.152	n/a	105576	fixpoint_ON	4	n/a	n/a	n/a
211.662	2.4	105831	stim_ON	8	1	1	1
214.572	n/a	107286	fixpoint_ON	4	n/a	n/a	n/a
215.082	2.4	107541	stim_ON	8	1	1	2
217.992	n/a	108996	fixpoint_ON	4	n/a	n/a	n/a
218.502	2.4	109251	stim_ON	8	1	0.6	3
221.412	n/a	110706	fixpoint_ON	4	n/a	n/a	n/a
221.922	2.4	110961	stim_ON	8	1	0.3	1
224.832	n/a	112416	fixpoint_ON	4	n/a	n/a	n/a
225.342	2.4	112671	stim_ON	8	1	0	2
228.252	n/a	114126	fixpoint_ON	4	n/a	n/a	n/a
228.762	2.4	114381	stim_ON	8	0	1	1
231.672	n/a	115836	fixpoint_ON	4	n/a	n/a	n/a
232.182	2.4	116091	stim_ON	8	1	1	2
235.092	n/a	117546	fixpoint_ON	4	n/a	n/a	n/a
235.602	2.4	117801	stim_ON	8	0	0.6	3
238.512	n/a	119256	fixpoint_ON	4	n/a	n/a	n/a
239.022	2.4	119511	stim_ON	8	1	0.6	1
241.932	n/a	120966	fixpoint_ON	4	n/a	n/a	n/a
242.442	2.4	121221	stim_ON	8	0	0.3	2
245.352	n/a	122676	fixpoint_ON	4	n/a	n/a	n/a
