onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
35.408	n/a	17704	contrastChangeB3_start	96	n/a
41.048	n/a	20524	contrastTrial_start	5	n/a
45.448	n/a	22724	left_target	8	n/a
46.868	n/a	23434	left_buttonPress	12	smiley_face
47.848	n/a	23924	contrastTrial_start	5	n/a
53.848	n/a	26924	left_target	8	n/a
55.428	n/a	27714	left_buttonPress	12	smiley_face
56.248	n/a	28124	contrastTrial_start	5	n/a
60.648	n/a	30324	right_target	9	n/a
63.048	n/a	31524	contrastTrial_start	5	n/a
67.448	n/a	33724	left_target	8	n/a
68.538	n/a	34269	left_buttonPress	12	smiley_face
69.85	n/a	34925	contrastTrial_start	5	n/a
75.85	n/a	37925	right_target	9	n/a
77.66	n/a	38830	right_buttonPress	13	smiley_face
78.25	n/a	39125	contrastTrial_start	5	n/a
84.25	n/a	42125	right_target	9	n/a
85.35	n/a	42675	right_buttonPress	13	smiley_face
86.65	n/a	43325	contrastTrial_start	5	n/a
89.45	n/a	44725	right_target	9	n/a
91.32	n/a	45660	right_buttonPress	13	smiley_face
91.85	n/a	45925	contrastTrial_start	5	n/a
96.25	n/a	48125	left_target	8	n/a
98.28	n/a	49140	left_buttonPress	12	smiley_face
98.65	n/a	49325	contrastTrial_start	5	n/a
101.45	n/a	50725	right_target	9	n/a
103.37	n/a	51685	right_buttonPress	13	smiley_face
103.85	n/a	51925	contrastTrial_start	5	n/a
109.85	n/a	54925	left_target	8	n/a
111.07	n/a	55535	left_buttonPress	12	smiley_face
112.25	n/a	56125	contrastTrial_start	5	n/a
116.65	n/a	58325	right_target	9	n/a
118.48	n/a	59240	right_buttonPress	13	smiley_face
119.05	n/a	59525	contrastTrial_start	5	n/a
123.45	n/a	61725	left_target	8	n/a
125.18	n/a	62590	left_buttonPress	12	smiley_face
125.85	n/a	62925	contrastTrial_start	5	n/a
128.65	n/a	64325	left_target	8	n/a
130.872	n/a	65436	left_buttonPress	12	smiley_face
131.052	n/a	65526	contrastTrial_start	5	n/a
137.052	n/a	68526	right_target	9	n/a
139.452	n/a	69726	contrastTrial_start	5	n/a
139.842	n/a	69921	right_buttonPress	13	non_target
145.452	n/a	72726	right_target	9	n/a
147.162	n/a	73581	right_buttonPress	13	smiley_face
147.852	n/a	73926	contrastTrial_start	5	n/a
152.252	n/a	76126	right_target	9	n/a
153.772	n/a	76886	right_buttonPress	13	smiley_face
154.652	n/a	77326	contrastTrial_start	5	n/a
157.452	n/a	78726	left_target	8	n/a
159.732	n/a	79866	right_buttonPress	13	sad_face
159.852	n/a	79926	contrastTrial_start	5	n/a
162.652	n/a	81326	right_target	9	n/a
164.562	n/a	82281	right_buttonPress	13	smiley_face
165.052	n/a	82526	contrastTrial_start	5	n/a
171.052	n/a	85526	left_target	8	n/a
172.912	n/a	86456	left_buttonPress	12	smiley_face
173.452	n/a	86726	contrastTrial_start	5	n/a
176.252	n/a	88126	left_target	8	n/a
178.612	n/a	89306	left_buttonPress	12	smiley_face
178.652	n/a	89326	contrastTrial_start	5	n/a
181.452	n/a	90726	right_target	9	n/a
183.152	n/a	91576	right_buttonPress	13	smiley_face
183.852	n/a	91926	contrastTrial_start	5	n/a
188.254	n/a	94127	right_target	9	n/a
189.814	n/a	94907	right_buttonPress	13	smiley_face
190.654	n/a	95327	contrastTrial_start	5	n/a
193.454	n/a	96727	left_target	8	n/a
195.334	n/a	97667	left_buttonPress	12	smiley_face
195.854	n/a	97927	contrastTrial_start	5	n/a
201.854	n/a	100927	left_target	8	n/a
203.254	n/a	101627	left_buttonPress	12	smiley_face
204.254	n/a	102127	contrastTrial_start	5	n/a
210.59	n/a	105295	break cnt	break cnt	n/a
245.66	n/a	122830	9999	9999	n/a
