onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
36.238	n/a	18119	contrastChangeB3_start	96	n/a
42.082	n/a	21041	contrastTrial_start	5	n/a
48.08	n/a	24040	right_target	9	n/a
50.39	n/a	25195	right_buttonPress	13	smiley_face
50.48	n/a	25240	contrastTrial_start	5	n/a
54.88	n/a	27440	right_target	9	n/a
56.8	n/a	28400	right_buttonPress	13	smiley_face
57.28	n/a	28640	contrastTrial_start	5	n/a
60.08	n/a	30040	right_target	9	n/a
61.77	n/a	30885	right_buttonPress	13	smiley_face
62.48	n/a	31240	contrastTrial_start	5	n/a
68.48	n/a	34240	left_target	8	n/a
69.52	n/a	34760	left_buttonPress	12	smiley_face
70.882	n/a	35441	contrastTrial_start	5	n/a
75.28	n/a	37640	left_target	8	n/a
76.772	n/a	38386	left_buttonPress	12	smiley_face
77.682	n/a	38841	contrastTrial_start	5	n/a
83.682	n/a	41841	left_target	8	n/a
85.172	n/a	42586	left_buttonPress	12	smiley_face
86.082	n/a	43041	contrastTrial_start	5	n/a
90.482	n/a	45241	right_target	9	n/a
92.682	n/a	46341	right_buttonPress	13	smiley_face
92.882	n/a	46441	contrastTrial_start	5	n/a
95.682	n/a	47841	left_target	8	n/a
97.092	n/a	48546	left_buttonPress	12	smiley_face
98.082	n/a	49041	contrastTrial_start	5	n/a
104.082	n/a	52041	right_target	9	n/a
105.712	n/a	52856	right_buttonPress	13	smiley_face
106.482	n/a	53241	contrastTrial_start	5	n/a
110.882	n/a	55441	left_target	8	n/a
112.532	n/a	56266	left_buttonPress	12	smiley_face
113.282	n/a	56641	contrastTrial_start	5	n/a
117.682	n/a	58841	right_target	9	n/a
119.322	n/a	59661	right_buttonPress	13	smiley_face
120.082	n/a	60041	contrastTrial_start	5	n/a
124.482	n/a	62241	right_target	9	n/a
126.202	n/a	63101	right_buttonPress	13	smiley_face
126.882	n/a	63441	contrastTrial_start	5	n/a
132.884	n/a	66442	right_target	9	n/a
134.674	n/a	67337	right_buttonPress	13	smiley_face
135.284	n/a	67642	contrastTrial_start	5	n/a
141.284	n/a	70642	left_target	8	n/a
142.974	n/a	71487	left_buttonPress	12	smiley_face
143.684	n/a	71842	contrastTrial_start	5	n/a
149.684	n/a	74842	left_target	8	n/a
151.044	n/a	75522	left_buttonPress	12	smiley_face
152.084	n/a	76042	contrastTrial_start	5	n/a
154.884	n/a	77442	right_target	9	n/a
157.284	n/a	78642	contrastTrial_start	5	n/a
161.684	n/a	80842	left_target	8	n/a
162.924	n/a	81462	left_buttonPress	12	smiley_face
164.084	n/a	82042	contrastTrial_start	5	n/a
166.884	n/a	83442	right_target	9	n/a
169.284	n/a	84642	contrastTrial_start	5	n/a
169.554	n/a	84777	right_buttonPress	13	non_target
172.084	n/a	86042	left_target	8	n/a
173.544	n/a	86772	left_buttonPress	12	smiley_face
174.484	n/a	87242	contrastTrial_start	5	n/a
180.484	n/a	90242	right_target	9	n/a
182.514	n/a	91257	right_buttonPress	13	smiley_face
182.884	n/a	91442	contrastTrial_start	5	n/a
185.694	n/a	92847	left_target	8	n/a
187.336	n/a	93668	left_buttonPress	12	smiley_face
188.094	n/a	94047	contrastTrial_start	5	n/a
190.894	n/a	95447	left_target	8	n/a
193.296	n/a	96648	contrastTrial_start	5	n/a
193.474	n/a	96737	left_buttonPress	12	non_target
196.096	n/a	98048	right_target	9	n/a
198.246	n/a	99123	right_buttonPress	13	smiley_face
198.496	n/a	99248	contrastTrial_start	5	n/a
202.894	n/a	101447	left_target	8	n/a
204.156	n/a	102078	left_buttonPress	12	smiley_face
205.296	n/a	102648	contrastTrial_start	5	n/a
211.746	n/a	105873	break cnt	break cnt	n/a
242.928	n/a	121464	9999	9999	n/a
