onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
46.832	n/a	23416	contrastChangeB3_start	96	n/a
52.584	n/a	26292	contrastTrial_start	5	n/a
55.964	n/a	27982	left_buttonPress	12	non_target
56.984	n/a	28492	left_target	8	n/a
59.384	n/a	29692	contrastTrial_start	5	n/a
65.384	n/a	32692	left_target	8	n/a
67.784	n/a	33892	contrastTrial_start	5	n/a
69.816	n/a	34908	left_buttonPress	12	non_target
72.184	n/a	36092	right_target	9	n/a
74.584	n/a	37292	contrastTrial_start	5	n/a
78.984	n/a	39492	left_target	8	n/a
80.792	n/a	40396	right_buttonPress	13	sad_face
81.384	n/a	40692	contrastTrial_start	5	n/a
87.384	n/a	43692	right_target	9	n/a
89.784	n/a	44892	contrastTrial_start	5	n/a
95.784	n/a	47892	right_target	9	n/a
98.184	n/a	49092	contrastTrial_start	5	n/a
98.444	n/a	49222	right_buttonPress	13	non_target
100.984	n/a	50492	right_target	9	n/a
103.384	n/a	51692	contrastTrial_start	5	n/a
107.784	n/a	53892	left_target	8	n/a
109.004	n/a	54502	left_buttonPress	12	smiley_face
110.184	n/a	55092	contrastTrial_start	5	n/a
112.984	n/a	56492	right_target	9	n/a
115.024	n/a	57512	right_buttonPress	13	smiley_face
115.384	n/a	57692	contrastTrial_start	5	n/a
121.384	n/a	60692	left_target	8	n/a
123.784	n/a	61892	contrastTrial_start	5	n/a
128.184	n/a	64092	right_target	9	n/a
128.512	n/a	64256	right_buttonPress	13	smiley_face
129.324	n/a	64662	right_buttonPress	13	non_target
130.584	n/a	65292	contrastTrial_start	5	n/a
134.984	n/a	67492	left_target	8	n/a
137.384	n/a	68692	contrastTrial_start	5	n/a
140.184	n/a	70092	left_target	8	n/a
142.072	n/a	71036	right_buttonPress	13	sad_face
142.584	n/a	71292	contrastTrial_start	5	n/a
145.664	n/a	72832	left_buttonPress	12	non_target
148.584	n/a	74292	right_target	9	n/a
150.984	n/a	75492	contrastTrial_start	5	n/a
155.872	n/a	77936	right_buttonPress	13	non_target
156.984	n/a	78492	right_target	9	n/a
159.384	n/a	79692	contrastTrial_start	5	n/a
163.532	n/a	81766	left_buttonPress	12	non_target
163.784	n/a	81892	right_target	9	n/a
166.184	n/a	83092	contrastTrial_start	5	n/a
168.472	n/a	84236	right_buttonPress	13	non_target
168.984	n/a	84492	left_target	8	n/a
171.384	n/a	85692	contrastTrial_start	5	n/a
174.184	n/a	87092	right_target	9	n/a
176.584	n/a	88292	contrastTrial_start	5	n/a
182.584	n/a	91292	left_target	8	n/a
184.192	n/a	92096	right_buttonPress	13	sad_face
184.984	n/a	92492	contrastTrial_start	5	n/a
187.784	n/a	93892	left_target	8	n/a
190.184	n/a	95092	contrastTrial_start	5	n/a
191.332	n/a	95666	left_buttonPress	12	non_target
191.912	n/a	95956	left_buttonPress	12	non_target
192.892	n/a	96446	left_buttonPress	12	non_target
192.98	n/a	96490	right_target	9	n/a
193.804	n/a	96902	left_buttonPress	12	sad_face
194.344	n/a	97172	left_buttonPress	12	non_target
194.892	n/a	97446	left_buttonPress	12	non_target
195.384	n/a	97692	contrastTrial_start	5	n/a
197.94	n/a	98970	right_buttonPress	13	non_target
199.78	n/a	99890	right_target	9	n/a
201.432	n/a	100716	left_buttonPress	12	sad_face
202.18	n/a	101090	contrastTrial_start	5	n/a
203.212	n/a	101606	right_buttonPress	13	non_target
203.72	n/a	101860	right_buttonPress	13	non_target
204.112	n/a	102056	right_buttonPress	13	non_target
204.98	n/a	102490	left_target	8	n/a
205.292	n/a	102646	right_buttonPress	13	sad_face
207.384	n/a	103692	contrastTrial_start	5	n/a
208.172	n/a	104086	right_buttonPress	13	non_target
211.152	n/a	105576	left_buttonPress	12	non_target
213.38	n/a	106690	left_target	8	n/a
215.784	n/a	107892	contrastTrial_start	5	n/a
222.172	n/a	111086	break cnt	break cnt	n/a
315.404	n/a	157702	9999	9999	n/a
