onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	0	0	break cnt	break cnt	n/a	n/a	n/a
122.656	0	61328	surroundSuppB2_start	97	n/a	n/a	n/a
124.2	0	62100	fixpoint_ON	4	n/a	n/a	n/a
124.72	2.4	62360	stim_ON	8	1	1	3
127.628	0	63814	fixpoint_ON	4	n/a	n/a	n/a
128.14	2.4	64070	stim_ON	8	1	0.6	1
131.048	0	65524	fixpoint_ON	4	n/a	n/a	n/a
131.56	2.4	65780	stim_ON	8	1	0.3	2
134.468	0	67234	fixpoint_ON	4	n/a	n/a	n/a
134.98	2.4	67490	stim_ON	8	1	0	3
137.888	0	68944	fixpoint_ON	4	n/a	n/a	n/a
138.4	2.4	69200	stim_ON	8	1	0	2
141.308	0	70654	fixpoint_ON	4	n/a	n/a	n/a
141.82	2.4	70910	stim_ON	8	1	0.3	1
144.728	0	72364	fixpoint_ON	4	n/a	n/a	n/a
145.24	2.4	72620	stim_ON	8	1	0.6	3
148.148	0	74074	fixpoint_ON	4	n/a	n/a	n/a
148.66	2.4	74330	stim_ON	8	1	1	2
151.568	0	75784	fixpoint_ON	4	n/a	n/a	n/a
152.08	2.4	76040	stim_ON	8	1	1	3
154.988	0	77494	fixpoint_ON	4	n/a	n/a	n/a
155.5	2.4	77750	stim_ON	8	1	0.6	1
158.408	0	79204	fixpoint_ON	4	n/a	n/a	n/a
158.92	2.4	79460	stim_ON	8	1	0.3	2
161.828	0	80914	fixpoint_ON	4	n/a	n/a	n/a
162.34	2.4	81170	stim_ON	8	1	0	3
165.248	0	82624	fixpoint_ON	4	n/a	n/a	n/a
165.76	2.4	82880	stim_ON	8	0	1	1
168.668	0	84334	fixpoint_ON	4	n/a	n/a	n/a
169.18	2.4	84590	stim_ON	8	0	0.6	2
172.088	0	86044	fixpoint_ON	4	n/a	n/a	n/a
172.6	2.4	86300	stim_ON	8	0	0.3	3
175.508	0	87754	fixpoint_ON	4	n/a	n/a	n/a
176.02	2.4	88010	stim_ON	8	0	0	1
178.928	0	89464	fixpoint_ON	4	n/a	n/a	n/a
179.44	2.4	89720	stim_ON	8	1	1	3
182.348	0	91174	fixpoint_ON	4	n/a	n/a	n/a
182.856	2.4	91428	stim_ON	8	1	0.6	2
185.768	0	92884	fixpoint_ON	4	n/a	n/a	n/a
186.28	2.4	93140	stim_ON	8	1	0.3	1
189.188	0	94594	fixpoint_ON	4	n/a	n/a	n/a
189.696	2.4	94848	stim_ON	8	1	0	3
192.608	0	96304	fixpoint_ON	4	n/a	n/a	n/a
193.116	2.4	96558	stim_ON	8	1	0	3
196.028	0	98014	fixpoint_ON	4	n/a	n/a	n/a
196.536	2.4	98268	stim_ON	8	1	0.3	1
