onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	0	0	break cnt	break cnt	n/a	n/a	n/a
46.888	0	23444	surroundSuppB1_start	93	n/a	n/a	n/a
48.432	0	24216	fixpoint_ON	4	n/a	n/a	n/a
48.952	2.4	24476	stim_ON	8	1	0	2
51.86	0	25930	fixpoint_ON	4	n/a	n/a	n/a
52.372	2.4	26186	stim_ON	8	1	0.3	3
55.28	0	27640	fixpoint_ON	4	n/a	n/a	n/a
55.792	2.4	27896	stim_ON	8	1	0.6	1
58.7	0	29350	fixpoint_ON	4	n/a	n/a	n/a
59.212	2.4	29606	stim_ON	8	1	1	2
62.12	0	31060	fixpoint_ON	4	n/a	n/a	n/a
62.632	2.4	31316	stim_ON	8	1	0	3
65.54	0	32770	fixpoint_ON	4	n/a	n/a	n/a
66.052	2.4	33026	stim_ON	8	1	0.3	2
68.964	0	34482	fixpoint_ON	4	n/a	n/a	n/a
69.472	2.4	34736	stim_ON	8	1	0.6	1
72.38	0	36190	fixpoint_ON	4	n/a	n/a	n/a
72.892	2.4	36446	stim_ON	8	1	1	3
75.804	0	37902	fixpoint_ON	4	n/a	n/a	n/a
76.312	2.4	38156	stim_ON	8	1	0	2
79.224	0	39612	fixpoint_ON	4	n/a	n/a	n/a
79.732	2.4	39866	stim_ON	8	1	0.3	3
82.644	0	41322	fixpoint_ON	4	n/a	n/a	n/a
83.152	2.4	41576	stim_ON	8	1	0.6	1
86.064	0	43032	fixpoint_ON	4	n/a	n/a	n/a
86.572	2.4	43286	stim_ON	8	1	1	2
89.484	0	44742	fixpoint_ON	4	n/a	n/a	n/a
89.992	2.4	44996	stim_ON	8	0	0	3
92.904	0	46452	fixpoint_ON	4	n/a	n/a	n/a
93.412	2.4	46706	stim_ON	8	0	0.3	1
96.324	0	48162	fixpoint_ON	4	n/a	n/a	n/a
96.832	2.4	48416	stim_ON	8	0	0.6	2
99.744	0	49872	fixpoint_ON	4	n/a	n/a	n/a
100.252	2.4	50126	stim_ON	8	0	1	3
103.164	0	51582	fixpoint_ON	4	n/a	n/a	n/a
103.672	2.4	51836	stim_ON	8	1	1	1
106.584	0	53292	fixpoint_ON	4	n/a	n/a	n/a
107.092	2.4	53546	stim_ON	8	1	0.6	3
110.004	0	55002	fixpoint_ON	4	n/a	n/a	n/a
110.512	2.4	55256	stim_ON	8	1	0.3	2
113.424	0	56712	fixpoint_ON	4	n/a	n/a	n/a
113.932	2.4	56966	stim_ON	8	1	0	1
116.844	0	58422	fixpoint_ON	4	n/a	n/a	n/a
117.352	2.4	58676	stim_ON	8	1	1	1
120.264	0	60132	fixpoint_ON	4	n/a	n/a	n/a
120.772	2.4	60386	stim_ON	8	1	0.6	2
123.684	0	61842	fixpoint_ON	4	n/a	n/a	n/a
124.192	2.4	62096	stim_ON	8	1	0.3	3
127.104	0	63552	fixpoint_ON	4	n/a	n/a	n/a
127.612	2.4	63806	stim_ON	8	1	0	1
130.524	0	65262	fixpoint_ON	4	n/a	n/a	n/a
131.032	2.4	65516	stim_ON	8	0	0	2
133.944	0	66972	fixpoint_ON	4	n/a	n/a	n/a
134.452	2.4	67226	stim_ON	8	1	0	3
137.364	0	68682	fixpoint_ON	4	n/a	n/a	n/a
137.876	2.4	68938	stim_ON	8	0	0.3	1
140.784	0	70392	fixpoint_ON	4	n/a	n/a	n/a
141.296	2.4	70648	stim_ON	8	1	0.3	2
144.204	0	72102	fixpoint_ON	4	n/a	n/a	n/a
144.716	2.4	72358	stim_ON	8	0	0.6	3
147.624	0	73812	fixpoint_ON	4	n/a	n/a	n/a
148.136	2.4	74068	stim_ON	8	1	0.6	1
151.044	0	75522	fixpoint_ON	4	n/a	n/a	n/a
151.556	2.4	75778	stim_ON	8	0	1	2
154.464	0	77232	fixpoint_ON	4	n/a	n/a	n/a
154.976	2.4	77488	stim_ON	8	1	1	3
157.884	0	78942	fixpoint_ON	4	n/a	n/a	n/a
158.396	2.4	79198	stim_ON	8	1	1	1
161.304	0	80652	fixpoint_ON	4	n/a	n/a	n/a
161.816	2.4	80908	stim_ON	8	1	0.6	2
164.724	0	82362	fixpoint_ON	4	n/a	n/a	n/a
165.236	2.4	82618	stim_ON	8	1	0.3	3
168.144	0	84072	fixpoint_ON	4	n/a	n/a	n/a
168.656	2.4	84328	stim_ON	8	1	0	1
171.564	0	85782	fixpoint_ON	4	n/a	n/a	n/a
172.076	2.4	86038	stim_ON	8	1	1	1
174.984	0	87492	fixpoint_ON	4	n/a	n/a	n/a
175.496	2.4	87748	stim_ON	8	1	0.6	3
178.404	0	89202	fixpoint_ON	4	n/a	n/a	n/a
178.916	2.4	89458	stim_ON	8	1	0.3	2
181.824	0	90912	fixpoint_ON	4	n/a	n/a	n/a
182.336	2.4	91168	stim_ON	8	1	0	1
185.244	0	92622	fixpoint_ON	4	n/a	n/a	n/a
185.756	2.4	92878	stim_ON	8	0	0	3
188.664	0	94332	fixpoint_ON	4	n/a	n/a	n/a
189.176	2.4	94588	stim_ON	8	0	0.3	1
192.084	0	96042	fixpoint_ON	4	n/a	n/a	n/a
192.596	2.4	96298	stim_ON	8	0	0.6	2
195.504	0	97752	fixpoint_ON	4	n/a	n/a	n/a
196.016	2.4	98008	stim_ON	8	0	1	3
198.924	0	99462	fixpoint_ON	4	n/a	n/a	n/a
199.436	2.4	99718	stim_ON	8	1	0	1
202.344	0	101172	fixpoint_ON	4	n/a	n/a	n/a
202.856	2.4	101428	stim_ON	8	1	0.3	2
205.764	0	102882	fixpoint_ON	4	n/a	n/a	n/a
206.276	2.4	103138	stim_ON	8	1	0.6	3
209.184	0	104592	fixpoint_ON	4	n/a	n/a	n/a
209.696	2.4	104848	stim_ON	8	1	1	1
212.604	0	106302	fixpoint_ON	4	n/a	n/a	n/a
213.116	2.4	106558	stim_ON	8	1	0	2
216.024	0	108012	fixpoint_ON	4	n/a	n/a	n/a
216.536	2.4	108268	stim_ON	8	1	0.3	1
219.444	0	109722	fixpoint_ON	4	n/a	n/a	n/a
219.956	2.4	109978	stim_ON	8	1	0.6	3
222.864	0	111432	fixpoint_ON	4	n/a	n/a	n/a
223.376	2.4	111688	stim_ON	8	1	1	2
226.284	0	113142	fixpoint_ON	4	n/a	n/a	n/a
226.796	2.4	113398	stim_ON	8	1	0	1
229.704	0	114852	fixpoint_ON	4	n/a	n/a	n/a
230.216	2.4	115108	stim_ON	8	1	0.3	2
233.124	0	116562	fixpoint_ON	4	n/a	n/a	n/a
233.636	2.4	116818	stim_ON	8	1	0.6	3
236.544	0	118272	fixpoint_ON	4	n/a	n/a	n/a
237.056	2.4	118528	stim_ON	8	1	1	1
239.964	0	119982	fixpoint_ON	4	n/a	n/a	n/a
240.476	2.4	120238	stim_ON	8	1	1	3
243.384	0	121692	fixpoint_ON	4	n/a	n/a	n/a
243.896	2.4	121948	stim_ON	8	0	1	1
246.808	0	123404	fixpoint_ON	4	n/a	n/a	n/a
247.316	2.4	123658	stim_ON	8	1	0.6	2
250.228	0	125114	fixpoint_ON	4	n/a	n/a	n/a
250.736	2.4	125368	stim_ON	8	0	0.6	3
253.648	0	126824	fixpoint_ON	4	n/a	n/a	n/a
254.156	2.4	127078	stim_ON	8	1	0.3	1
257.068	0	128534	fixpoint_ON	4	n/a	n/a	n/a
