onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
60.526	n/a	30263	surroundSuppB1_start	93	n/a	n/a	n/a
62.084	n/a	31042	fixpoint_ON	4	n/a	n/a	n/a
62.602	2.4	31301	stim_ON	8	1	0	2
65.51	n/a	32755	fixpoint_ON	4	n/a	n/a	n/a
66.02	2.4	33010	stim_ON	8	1	0.3	3
68.93	n/a	34465	fixpoint_ON	4	n/a	n/a	n/a
69.44	2.4	34720	stim_ON	8	1	0.6	1
72.35	n/a	36175	fixpoint_ON	4	n/a	n/a	n/a
72.86	2.4	36430	stim_ON	8	1	1	2
75.77	n/a	37885	fixpoint_ON	4	n/a	n/a	n/a
76.28	2.4	38140	stim_ON	8	1	0	3
79.19	n/a	39595	fixpoint_ON	4	n/a	n/a	n/a
79.7	2.4	39850	stim_ON	8	1	0.3	2
82.61	n/a	41305	fixpoint_ON	4	n/a	n/a	n/a
83.12	2.4	41560	stim_ON	8	1	0.6	1
86.03	n/a	43015	fixpoint_ON	4	n/a	n/a	n/a
86.54	2.4	43270	stim_ON	8	1	1	3
89.45	n/a	44725	fixpoint_ON	4	n/a	n/a	n/a
89.96	2.4	44980	stim_ON	8	1	0	2
92.87	n/a	46435	fixpoint_ON	4	n/a	n/a	n/a
93.38	2.4	46690	stim_ON	8	1	0.3	3
96.29	n/a	48145	fixpoint_ON	4	n/a	n/a	n/a
96.8	2.4	48400	stim_ON	8	1	0.6	1
99.712	n/a	49856	fixpoint_ON	4	n/a	n/a	n/a
100.222	2.4	50111	stim_ON	8	1	1	2
103.132	n/a	51566	fixpoint_ON	4	n/a	n/a	n/a
103.642	2.4	51821	stim_ON	8	0	0	3
106.552	n/a	53276	fixpoint_ON	4	n/a	n/a	n/a
107.062	2.4	53531	stim_ON	8	0	0.3	1
109.972	n/a	54986	fixpoint_ON	4	n/a	n/a	n/a
110.482	2.4	55241	stim_ON	8	0	0.6	2
113.392	n/a	56696	fixpoint_ON	4	n/a	n/a	n/a
113.902	2.4	56951	stim_ON	8	0	1	3
116.812	n/a	58406	fixpoint_ON	4	n/a	n/a	n/a
117.322	2.4	58661	stim_ON	8	1	1	1
120.232	n/a	60116	fixpoint_ON	4	n/a	n/a	n/a
120.742	2.4	60371	stim_ON	8	1	0.6	3
123.652	n/a	61826	fixpoint_ON	4	n/a	n/a	n/a
124.162	2.4	62081	stim_ON	8	1	0.3	2
127.072	n/a	63536	fixpoint_ON	4	n/a	n/a	n/a
127.582	2.4	63791	stim_ON	8	1	0	1
130.492	n/a	65246	fixpoint_ON	4	n/a	n/a	n/a
131.002	2.4	65501	stim_ON	8	1	1	1
133.912	n/a	66956	fixpoint_ON	4	n/a	n/a	n/a
134.422	2.4	67211	stim_ON	8	1	0.6	2
137.332	n/a	68666	fixpoint_ON	4	n/a	n/a	n/a
137.842	2.4	68921	stim_ON	8	1	0.3	3
140.752	n/a	70376	fixpoint_ON	4	n/a	n/a	n/a
141.262	2.4	70631	stim_ON	8	1	0	1
144.172	n/a	72086	fixpoint_ON	4	n/a	n/a	n/a
144.682	2.4	72341	stim_ON	8	0	0	2
147.592	n/a	73796	fixpoint_ON	4	n/a	n/a	n/a
148.102	2.4	74051	stim_ON	8	1	0	3
151.012	n/a	75506	fixpoint_ON	4	n/a	n/a	n/a
151.522	2.4	75761	stim_ON	8	0	0.3	1
154.432	n/a	77216	fixpoint_ON	4	n/a	n/a	n/a
154.942	2.4	77471	stim_ON	8	1	0.3	2
157.852	n/a	78926	fixpoint_ON	4	n/a	n/a	n/a
158.362	2.4	79181	stim_ON	8	0	0.6	3
161.274	n/a	80637	fixpoint_ON	4	n/a	n/a	n/a
161.784	2.4	80892	stim_ON	8	1	0.6	1
164.694	n/a	82347	fixpoint_ON	4	n/a	n/a	n/a
165.204	2.4	82602	stim_ON	8	0	1	2
168.114	n/a	84057	fixpoint_ON	4	n/a	n/a	n/a
168.624	2.4	84312	stim_ON	8	1	1	3
171.534	n/a	85767	fixpoint_ON	4	n/a	n/a	n/a
172.044	2.4	86022	stim_ON	8	1	1	1
174.954	n/a	87477	fixpoint_ON	4	n/a	n/a	n/a
175.464	2.4	87732	stim_ON	8	1	0.6	2
178.374	n/a	89187	fixpoint_ON	4	n/a	n/a	n/a
178.884	2.4	89442	stim_ON	8	1	0.3	3
181.794	n/a	90897	fixpoint_ON	4	n/a	n/a	n/a
182.304	2.4	91152	stim_ON	8	1	0	1
185.214	n/a	92607	fixpoint_ON	4	n/a	n/a	n/a
185.724	2.4	92862	stim_ON	8	1	1	1
188.634	n/a	94317	fixpoint_ON	4	n/a	n/a	n/a
189.144	2.4	94572	stim_ON	8	1	0.6	3
192.054	n/a	96027	fixpoint_ON	4	n/a	n/a	n/a
192.564	2.4	96282	stim_ON	8	1	0.3	2
195.474	n/a	97737	fixpoint_ON	4	n/a	n/a	n/a
195.984	2.4	97992	stim_ON	8	1	0	1
198.894	n/a	99447	fixpoint_ON	4	n/a	n/a	n/a
199.404	2.4	99702	stim_ON	8	0	0	3
202.314	n/a	101157	fixpoint_ON	4	n/a	n/a	n/a
202.824	2.4	101412	stim_ON	8	0	0.3	1
205.734	n/a	102867	fixpoint_ON	4	n/a	n/a	n/a
206.244	2.4	103122	stim_ON	8	0	0.6	2
209.154	n/a	104577	fixpoint_ON	4	n/a	n/a	n/a
209.664	2.4	104832	stim_ON	8	0	1	3
212.574	n/a	106287	fixpoint_ON	4	n/a	n/a	n/a
213.084	2.4	106542	stim_ON	8	1	0	1
215.994	n/a	107997	fixpoint_ON	4	n/a	n/a	n/a
216.504	2.4	108252	stim_ON	8	1	0.3	2
219.414	n/a	109707	fixpoint_ON	4	n/a	n/a	n/a
219.924	2.4	109962	stim_ON	8	1	0.6	3
222.834	n/a	111417	fixpoint_ON	4	n/a	n/a	n/a
223.346	2.4	111673	stim_ON	8	1	1	1
226.256	n/a	113128	fixpoint_ON	4	n/a	n/a	n/a
226.766	2.4	113383	stim_ON	8	1	0	2
229.676	n/a	114838	fixpoint_ON	4	n/a	n/a	n/a
230.186	2.4	115093	stim_ON	8	1	0.3	1
233.096	n/a	116548	fixpoint_ON	4	n/a	n/a	n/a
233.606	2.4	116803	stim_ON	8	1	0.6	3
236.516	n/a	118258	fixpoint_ON	4	n/a	n/a	n/a
237.026	2.4	118513	stim_ON	8	1	1	2
239.936	n/a	119968	fixpoint_ON	4	n/a	n/a	n/a
240.446	2.4	120223	stim_ON	8	1	0	1
243.356	n/a	121678	fixpoint_ON	4	n/a	n/a	n/a
243.866	2.4	121933	stim_ON	8	1	0.3	2
246.776	n/a	123388	fixpoint_ON	4	n/a	n/a	n/a
247.286	2.4	123643	stim_ON	8	1	0.6	3
250.196	n/a	125098	fixpoint_ON	4	n/a	n/a	n/a
250.706	2.4	125353	stim_ON	8	1	1	1
253.616	n/a	126808	fixpoint_ON	4	n/a	n/a	n/a
254.126	2.4	127063	stim_ON	8	1	1	3
257.036	n/a	128518	fixpoint_ON	4	n/a	n/a	n/a
257.546	2.4	128773	stim_ON	8	0	1	1
260.456	n/a	130228	fixpoint_ON	4	n/a	n/a	n/a
260.966	2.4	130483	stim_ON	8	1	0.6	2
263.876	n/a	131938	fixpoint_ON	4	n/a	n/a	n/a
264.386	2.4	132193	stim_ON	8	0	0.6	3
267.296	n/a	133648	fixpoint_ON	4	n/a	n/a	n/a
267.806	2.4	133903	stim_ON	8	1	0.3	1
270.716	n/a	135358	fixpoint_ON	4	n/a	n/a	n/a
271.226	2.4	135613	stim_ON	8	0	0.3	2
274.136	n/a	137068	fixpoint_ON	4	n/a	n/a	n/a
274.646	2.4	137323	stim_ON	8	1	0	3
277.556	n/a	138778	fixpoint_ON	4	n/a	n/a	n/a
278.066	2.4	139033	stim_ON	8	0	0	1
283.983	n/a	141991.5	boundary	boundary	n/a	n/a	n/a
