onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
33.48	n/a	16740	surroundSuppB1_start	93	n/a	n/a	n/a
35.024	n/a	17512	fixpoint_ON	4	n/a	n/a	n/a
35.544	2.4	17772	stim_ON	8	1	0	2
38.452	n/a	19226	fixpoint_ON	4	n/a	n/a	n/a
38.962	2.4	19481	stim_ON	8	1	0.3	3
41.872	n/a	20936	fixpoint_ON	4	n/a	n/a	n/a
42.382	2.4	21191	stim_ON	8	1	0.6	1
45.292	n/a	22646	fixpoint_ON	4	n/a	n/a	n/a
45.802	2.4	22901	stim_ON	8	1	1	2
48.712	n/a	24356	fixpoint_ON	4	n/a	n/a	n/a
49.222	2.4	24611	stim_ON	8	1	0	3
52.132	n/a	26066	fixpoint_ON	4	n/a	n/a	n/a
52.642	2.4	26321	stim_ON	8	1	0.3	2
55.552	n/a	27776	fixpoint_ON	4	n/a	n/a	n/a
56.062	2.4	28031	stim_ON	8	1	0.6	1
58.972	n/a	29486	fixpoint_ON	4	n/a	n/a	n/a
59.482	2.4	29741	stim_ON	8	1	1	3
62.392	n/a	31196	fixpoint_ON	4	n/a	n/a	n/a
62.902	2.4	31451	stim_ON	8	1	0	2
65.812	n/a	32906	fixpoint_ON	4	n/a	n/a	n/a
66.322	2.4	33161	stim_ON	8	1	0.3	3
69.232	n/a	34616	fixpoint_ON	4	n/a	n/a	n/a
69.742	2.4	34871	stim_ON	8	1	0.6	1
72.652	n/a	36326	fixpoint_ON	4	n/a	n/a	n/a
73.162	2.4	36581	stim_ON	8	1	1	2
76.072	n/a	38036	fixpoint_ON	4	n/a	n/a	n/a
76.582	2.4	38291	stim_ON	8	0	0	3
79.492	n/a	39746	fixpoint_ON	4	n/a	n/a	n/a
80.002	2.4	40001	stim_ON	8	0	0.3	1
82.912	n/a	41456	fixpoint_ON	4	n/a	n/a	n/a
83.424	2.4	41712	stim_ON	8	0	0.6	2
86.334	n/a	43167	fixpoint_ON	4	n/a	n/a	n/a
86.844	2.4	43422	stim_ON	8	0	1	3
89.754	n/a	44877	fixpoint_ON	4	n/a	n/a	n/a
90.264	2.4	45132	stim_ON	8	1	1	1
93.174	n/a	46587	fixpoint_ON	4	n/a	n/a	n/a
93.684	2.4	46842	stim_ON	8	1	0.6	3
96.594	n/a	48297	fixpoint_ON	4	n/a	n/a	n/a
97.104	2.4	48552	stim_ON	8	1	0.3	2
100.014	n/a	50007	fixpoint_ON	4	n/a	n/a	n/a
100.524	2.4	50262	stim_ON	8	1	0	1
103.434	n/a	51717	fixpoint_ON	4	n/a	n/a	n/a
103.944	2.4	51972	stim_ON	8	1	1	1
106.854	n/a	53427	fixpoint_ON	4	n/a	n/a	n/a
107.364	2.4	53682	stim_ON	8	1	0.6	2
110.274	n/a	55137	fixpoint_ON	4	n/a	n/a	n/a
110.784	2.4	55392	stim_ON	8	1	0.3	3
113.694	n/a	56847	fixpoint_ON	4	n/a	n/a	n/a
114.204	2.4	57102	stim_ON	8	1	0	1
117.114	n/a	58557	fixpoint_ON	4	n/a	n/a	n/a
117.624	2.4	58812	stim_ON	8	0	0	2
120.534	n/a	60267	fixpoint_ON	4	n/a	n/a	n/a
121.044	2.4	60522	stim_ON	8	1	0	3
123.954	n/a	61977	fixpoint_ON	4	n/a	n/a	n/a
124.464	2.4	62232	stim_ON	8	0	0.3	1
127.374	n/a	63687	fixpoint_ON	4	n/a	n/a	n/a
127.884	2.4	63942	stim_ON	8	1	0.3	2
130.794	n/a	65397	fixpoint_ON	4	n/a	n/a	n/a
131.304	2.4	65652	stim_ON	8	0	0.6	3
134.214	n/a	67107	fixpoint_ON	4	n/a	n/a	n/a
134.724	2.4	67362	stim_ON	8	1	0.6	1
137.634	n/a	68817	fixpoint_ON	4	n/a	n/a	n/a
138.144	2.4	69072	stim_ON	8	0	1	2
141.054	n/a	70527	fixpoint_ON	4	n/a	n/a	n/a
141.564	2.4	70782	stim_ON	8	1	1	3
144.474	n/a	72237	fixpoint_ON	4	n/a	n/a	n/a
144.986	2.4	72493	stim_ON	8	1	1	1
147.896	n/a	73948	fixpoint_ON	4	n/a	n/a	n/a
148.406	2.4	74203	stim_ON	8	1	0.6	2
151.316	n/a	75658	fixpoint_ON	4	n/a	n/a	n/a
151.826	2.4	75913	stim_ON	8	1	0.3	3
154.736	n/a	77368	fixpoint_ON	4	n/a	n/a	n/a
155.246	2.4	77623	stim_ON	8	1	0	1
158.156	n/a	79078	fixpoint_ON	4	n/a	n/a	n/a
158.666	2.4	79333	stim_ON	8	1	1	1
161.576	n/a	80788	fixpoint_ON	4	n/a	n/a	n/a
162.086	2.4	81043	stim_ON	8	1	0.6	3
164.996	n/a	82498	fixpoint_ON	4	n/a	n/a	n/a
165.506	2.4	82753	stim_ON	8	1	0.3	2
168.416	n/a	84208	fixpoint_ON	4	n/a	n/a	n/a
168.926	2.4	84463	stim_ON	8	1	0	1
171.836	n/a	85918	fixpoint_ON	4	n/a	n/a	n/a
172.346	2.4	86173	stim_ON	8	0	0	3
175.256	n/a	87628	fixpoint_ON	4	n/a	n/a	n/a
175.766	2.4	87883	stim_ON	8	0	0.3	1
178.676	n/a	89338	fixpoint_ON	4	n/a	n/a	n/a
179.186	2.4	89593	stim_ON	8	0	0.6	2
182.096	n/a	91048	fixpoint_ON	4	n/a	n/a	n/a
182.606	2.4	91303	stim_ON	8	0	1	3
185.516	n/a	92758	fixpoint_ON	4	n/a	n/a	n/a
186.026	2.4	93013	stim_ON	8	1	0	1
188.936	n/a	94468	fixpoint_ON	4	n/a	n/a	n/a
