onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
43.984	n/a	21992	contrastChangeB2_start	95	n/a
49.772	n/a	24886	contrastTrial_start	5	n/a
52.59	n/a	26295	left_target	8	n/a
54.43	n/a	27215	left_buttonPress	12	smiley_face
54.992	n/a	27496	contrastTrial_start	5	n/a
59.39	n/a	29695	left_target	8	n/a
61.15	n/a	30575	left_buttonPress	12	smiley_face
61.79	n/a	30895	contrastTrial_start	5	n/a
67.79	n/a	33895	left_target	8	n/a
69.39	n/a	34695	left_buttonPress	12	smiley_face
70.192	n/a	35096	contrastTrial_start	5	n/a
76.192	n/a	38096	right_target	9	n/a
78.592	n/a	39296	contrastTrial_start	5	n/a
78.622	n/a	39311	left_buttonPress	12	non_target
84.592	n/a	42296	right_target	9	n/a
86.242	n/a	43121	right_buttonPress	13	smiley_face
86.992	n/a	43496	contrastTrial_start	5	n/a
92.992	n/a	46496	right_target	9	n/a
94.992	n/a	47496	left_buttonPress	12	sad_face
95.392	n/a	47696	contrastTrial_start	5	n/a
96.152	n/a	48076	right_buttonPress	13	non_target
99.792	n/a	49896	left_target	8	n/a
101.562	n/a	50781	right_buttonPress	13	sad_face
102.192	n/a	51096	contrastTrial_start	5	n/a
102.932	n/a	51466	left_buttonPress	12	non_target
104.992	n/a	52496	right_target	9	n/a
106.992	n/a	53496	right_buttonPress	13	smiley_face
107.392	n/a	53696	contrastTrial_start	5	n/a
113.392	n/a	56696	left_target	8	n/a
115.252	n/a	57626	left_buttonPress	12	smiley_face
115.792	n/a	57896	contrastTrial_start	5	n/a
118.592	n/a	59296	right_target	9	n/a
120.312	n/a	60156	right_buttonPress	13	smiley_face
120.992	n/a	60496	contrastTrial_start	5	n/a
125.392	n/a	62696	left_target	8	n/a
127.622	n/a	63811	left_buttonPress	12	smiley_face
127.792	n/a	63896	contrastTrial_start	5	n/a
133.792	n/a	66896	left_target	8	n/a
135.694	n/a	67847	left_buttonPress	12	smiley_face
136.194	n/a	68097	contrastTrial_start	5	n/a
138.994	n/a	69497	left_target	8	n/a
140.954	n/a	70477	left_buttonPress	12	smiley_face
141.394	n/a	70697	contrastTrial_start	5	n/a
145.794	n/a	72897	right_target	9	n/a
147.884	n/a	73942	right_buttonPress	13	smiley_face
148.194	n/a	74097	contrastTrial_start	5	n/a
152.594	n/a	76297	right_target	9	n/a
154.374	n/a	77187	right_buttonPress	13	smiley_face
154.994	n/a	77497	contrastTrial_start	5	n/a
157.794	n/a	78897	right_target	9	n/a
159.324	n/a	79662	right_buttonPress	13	smiley_face
160.194	n/a	80097	contrastTrial_start	5	n/a
162.994	n/a	81497	right_target	9	n/a
164.424	n/a	82212	right_buttonPress	13	smiley_face
165.394	n/a	82697	contrastTrial_start	5	n/a
165.584	n/a	82792	right_buttonPress	13	non_target
168.194	n/a	84097	left_target	8	n/a
169.514	n/a	84757	left_buttonPress	12	smiley_face
170.594	n/a	85297	contrastTrial_start	5	n/a
170.794	n/a	85397	left_buttonPress	12	non_target
173.394	n/a	86697	left_target	8	n/a
175.334	n/a	87667	left_buttonPress	12	smiley_face
175.794	n/a	87897	contrastTrial_start	5	n/a
180.194	n/a	90097	left_target	8	n/a
181.734	n/a	90867	left_buttonPress	12	smiley_face
182.594	n/a	91297	contrastTrial_start	5	n/a
186.994	n/a	93497	right_target	9	n/a
189.394	n/a	94697	left_buttonPress	12	sad_face
189.396	n/a	94698	contrastTrial_start	5	n/a
191.704	n/a	95852	right_buttonPress	13	non_target
193.794	n/a	96897	right_target	9	n/a
196.196	n/a	98098	contrastTrial_start	5	n/a
196.356	n/a	98178	right_buttonPress	13	non_target
202.196	n/a	101098	right_target	9	n/a
203.854	n/a	101927	right_buttonPress	13	smiley_face
204.596	n/a	102298	contrastTrial_start	5	n/a
210.596	n/a	105298	left_target	8	n/a
212.466	n/a	106233	left_buttonPress	12	smiley_face
212.996	n/a	106498	contrastTrial_start	5	n/a
214.106	n/a	107053	left_buttonPress	12	non_target
219.386	n/a	109693	break cnt	break cnt	n/a
275.746	n/a	137873	9999	9999	n/a
