onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
47.276	n/a	23638	contrastChangeB1_start	94	n/a
53.264	n/a	26632	contrastTrial_start	5	n/a
57.664	n/a	28832	left_target	8	n/a
59.104	n/a	29552	left_buttonPress	12	smiley_face
60.064	n/a	30032	contrastTrial_start	5	n/a
62.864	n/a	31432	right_target	9	n/a
64.296	n/a	32148	right_buttonPress	13	smiley_face
65.264	n/a	32632	contrastTrial_start	5	n/a
68.064	n/a	34032	right_target	9	n/a
70.016	n/a	35008	right_buttonPress	13	smiley_face
70.464	n/a	35232	contrastTrial_start	5	n/a
74.864	n/a	37432	right_target	9	n/a
76.756	n/a	38378	right_buttonPress	13	smiley_face
77.264	n/a	38632	contrastTrial_start	5	n/a
80.064	n/a	40032	right_target	9	n/a
82.468	n/a	41234	contrastTrial_start	5	n/a
82.564	n/a	41282	right_buttonPress	13	non_target
87.016	n/a	43508	left_buttonPress	12	non_target
88.464	n/a	44232	right_target	9	n/a
89.716	n/a	44858	right_buttonPress	13	smiley_face
90.864	n/a	45432	contrastTrial_start	5	n/a
95.784	n/a	47892	left_buttonPress	12	non_target
96.864	n/a	48432	left_target	8	n/a
97.996	n/a	48998	left_buttonPress	12	smiley_face
98.856	n/a	49428	left_buttonPress	12	non_target
99.264	n/a	49632	contrastTrial_start	5	n/a
102.064	n/a	51032	right_target	9	n/a
103.596	n/a	51798	right_buttonPress	13	smiley_face
104.464	n/a	52232	contrastTrial_start	5	n/a
108.864	n/a	54432	right_target	9	n/a
110.144	n/a	55072	left_buttonPress	12	sad_face
110.544	n/a	55272	right_buttonPress	13	non_target
111.264	n/a	55632	contrastTrial_start	5	n/a
111.344	n/a	55672	right_buttonPress	13	non_target
115.664	n/a	57832	left_target	8	n/a
117.144	n/a	58572	left_buttonPress	12	smiley_face
118.076	n/a	59038	contrastTrial_start	5	n/a
122.476	n/a	61238	right_target	9	n/a
124.104	n/a	62052	right_buttonPress	13	smiley_face
124.896	n/a	62448	contrastTrial_start	5	n/a
130.892	n/a	65446	left_target	8	n/a
132.744	n/a	66372	left_buttonPress	12	smiley_face
133.316	n/a	66658	contrastTrial_start	5	n/a
136.112	n/a	68056	left_target	8	n/a
137.936	n/a	68968	left_buttonPress	12	smiley_face
138.532	n/a	69266	contrastTrial_start	5	n/a
141.344	n/a	70672	left_target	8	n/a
143.464	n/a	71732	left_buttonPress	12	smiley_face
143.764	n/a	71882	contrastTrial_start	5	n/a
149.764	n/a	74882	left_target	8	n/a
150.784	n/a	75392	left_buttonPress	12	smiley_face
151.752	n/a	75876	left_buttonPress	12	non_target
152.192	n/a	76096	contrastTrial_start	5	n/a
156.592	n/a	78296	left_target	8	n/a
158.584	n/a	79292	left_buttonPress	12	smiley_face
159.012	n/a	79506	contrastTrial_start	5	n/a
161.812	n/a	80906	left_target	8	n/a
163.172	n/a	81586	left_buttonPress	12	smiley_face
164.232	n/a	82116	contrastTrial_start	5	n/a
170.232	n/a	85116	left_target	8	n/a
171.864	n/a	85932	left_buttonPress	12	smiley_face
172.652	n/a	86326	contrastTrial_start	5	n/a
178.652	n/a	89326	right_target	9	n/a
180.212	n/a	90106	left_buttonPress	12	sad_face
180.544	n/a	90272	right_buttonPress	13	non_target
181.084	n/a	90542	contrastTrial_start	5	n/a
185.484	n/a	92742	right_target	9	n/a
186.792	n/a	93396	right_buttonPress	13	smiley_face
187.904	n/a	93952	contrastTrial_start	5	n/a
193.904	n/a	96952	right_target	9	n/a
195.564	n/a	97782	right_buttonPress	13	smiley_face
196.324	n/a	98162	contrastTrial_start	5	n/a
202.324	n/a	101162	right_target	9	n/a
203.504	n/a	101752	right_buttonPress	13	smiley_face
204.744	n/a	102372	contrastTrial_start	5	n/a
207.544	n/a	103772	left_target	8	n/a
208.852	n/a	104426	left_buttonPress	12	smiley_face
209.964	n/a	104982	contrastTrial_start	5	n/a
214.364	n/a	107182	left_target	8	n/a
215.884	n/a	107942	left_buttonPress	12	smiley_face
216.784	n/a	108392	contrastTrial_start	5	n/a
223.184	n/a	111592	break cnt	break cnt	n/a
252.408	n/a	126204	9999	9999	n/a
